Baker Hughes,Curve,Wireline,DIPS,STAR,Unitless,Unitless,Six dip curves generated from 6-arm Diplog,
Baker Hughes,Curve,Wireline,DLBH,DLL,Unitless,Unitless,Internal borehole correction curve,
Baker Hughes,Curve,Wireline,DLRM,DLL,ohm.m,Formation resistivity,Computed mud resistivity,
Baker Hughes,Curve,Wireline,DMAX,EART,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX,EART2,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX,HDIP,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX,STAR,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX,WGI,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX2,STAR,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX2,HDIP,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAX2,WGI,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAXS,EART,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAXS,HDIP,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAXS,STAR,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMAXS,WGI,m,Diameter,Maximum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN,EART2,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN,HDIP,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN,EART,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN,STAR,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN,WGI,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN2,STAR,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN2,WGI,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMIN2,HDIP,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMINS,EART,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMINS,WGI,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMINS,HDIP,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMINS,STAR,m,Diameter,Minimum caliper diameter,
Baker Hughes,Curve,Wireline,DMV,RPM,V,Electric potential,Delta motor voltage computed for cruise control,
Baker Hughes,Curve,Wireline,DNL,ZDL,Unitless,Unitless,ZDEN internal curve,
Baker Hughes,Curve,Wireline,DNL2,ZDL,Unitless,Unitless,ZDEN internal curve (2nd tool),
Baker Hughes,Curve,Wireline,DNM3SS,PNHI,Unitless,Unitless,Sum of CHLSS and HYDSS,
Baker Hughes,Curve,Wireline,DNM3SS,RPM,Unitless,Unitless,Sum of CHLSS and HYDSS,
Baker Hughes,Curve,Wireline,DNS,ZDL,m,Length and depth,ZDEN internal curve,
Baker Hughes,Curve,Wireline,DOI,MREX,m,Small length measurement (e.g. in/cm/mm),Depth of investigation,
Baker Hughes,Curve,Wireline,DOI2,MREX,m,Small length measurement (e.g. in/cm/mm),Depth of investigation,
Baker Hughes,Curve,Wireline,DOI3,MREX,m,Diameter,Depth of investigation,
Baker Hughes,Curve,Wireline,DOID,MREX,m,Small length measurement (e.g. in/cm/mm),Depth of investigation,
Baker Hughes,Curve,Wireline,DP1A,EART2,ohm.m,Formation resistivity,Pad 1 frequency A average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP1B,EART2,ohm.m,Formation resistivity,Pad 1 frequency B average of two center button resistivities,
Baker Hughes,Curve,Wireline,DP2A,EART2,ohm.m,Formation resistivity,Pad 2 frequency A average of two center button resistivities,
